Organisation,KvK number,clean_name
"""""Aa-Dee"""" Machinefabriek en Staalbouw Nederland B.V.",16051874.0,aadee machinefabriek en staalbouw
"""""AAE"""" Advanced Automated Equipment B.V.",17037842.0,aae advanced automated equipment
@EasePay B.V.,83892869.0,easepay
@Fentures B.V.,82701695.0,fentures
01-10 Architecten B.V.,24257403.0,0110 architecten
073 Meeting Company B.V.,61829420.0,073 meeting company
1 Cube B.V.,82201811.0,1 cube
100 Grams B.V.,69299544.0,100 grams
10X Genomics B.V.,68933223.0,10x genomics
12Build Sales B.V.,63719444.0,12build sales
180 Amsterdam BV,34117849.0,180 amsterdam
2 Getthere Holding B.V.,30225996.0,2 getthere
20Face B.V.,69220085.0,20face
21 Markets B.V.,59575417.0,21 markets
21SanSec B.V.,85586617.0,21sansec
247HAIR,2076358.0,247hair
247TailorSteel B.V.,9163645.0,247tailorsteel
2525 Ventures B.V.,63661438.0,2525 ventures
2-B Energy Holding,8156456.0,2b energy
2Care4Kids Holding B.V.,56027400.0,2care4kids
2Connect B.V.,18057952.0,2connect
2Impact B.V.,87370530.0,2impact
2M Engineering Limited,17172882.0,2m engineering limited
360KAS B.V.,66831148.0,360kas
361° Europe B.V.,66674999.0,361
365Werk Contracting B.V.,67524524.0,365werk contracting
3BFAB B.V.,86686623.0,3bfab
3D Communications EU,92219535.0,3d communications eu
3D Hubs B.V.,57883424.0,3d hubs
3Dimerce B.V.,30168665.0,3dimerce
3DM-Engineering,76027287.0,3dmengineering
3DUniversum B.V.,60891831.0,3duniversum
3esi Netherlands B.V.,71974210.0,3esi
3M Nederland B.V.,28020725.0,3m
3P Project Services B.V.,20132450.0,3p project services
3S Money Club,76166120.0,3s money club
3SC Analytics B.V.,72658622.0,3sc analytics
3Webapps B.V.,61834890.0,3webapps
4 Minutes B.V.,53921291.0,4 minutes
42 Solutions B.V.,17129684.0,42 solutions
4DotNet B.V.,4079637.0,4dotnet
4G Clinical B.V.,65755774.0,4g clinical
4People Zuid B.V.,50131907.0,4people zuid
4PS B.V.,8087997.0,4ps
4WEB EU B.V.,59251778.0,4web eu
50five Charging Solutions NL B.V.,96524685.0,50five charging solutions nl
5ahead GmbH,88416097.0,5ahead gmbh
5BAR Assurance B.V.,30244543.0,5bar assurance
5CA B.V.,30277579.0,5ca
7 Solutions B.V.,24450204.0,7 solutions
72andSunny NL B.V.,34257945.0,72andsunny nl
8 Lakes Shared Services B.V.,67304311.0,8 lakes shared services
83Design Inc. Europe Representative Office,66864844.0,83design inc representative office
8vance Matching Technologies B.V.,55679218.0,8vance matching technologies
9altitudes Business Analytics B.V.,60753978.0,9altitudes business analytics
9altitudes Nederland B.V,33187418.0,9altitudes
A Beautiful Story B.V.,56453663.0,a beautiful story
A Booth B.V.,37082463.0,a booth
A Consultancy Company B.V.,80182909.0,a consultancy company
A New Hope B.V.,83795790.0,a new hope
A Nice Group B.V.,87108674.0,a nice
A&S System Integrators B.V.,52135403.0,as system integrators
A.A.B. International B.V.,30148836.0,aab international
"A.C.E. Ingenieurs en Adviesbureau, Werktuigbouw en Electrotechniek B.V.",17071306.0,ace ingenieurs en adviesbureau werktuigbouw en electrotechniek
A.L. Hoogesteger Fresh Specialist B.V.,34065005.0,al hoogesteger fresh specialist
A.M. Best (EU) Rating Services B.V.,71592717.0,am best eu rating services
A.M.P.C. Associated Medical Project Consultants B.V.,11023272.0,ampc associated medical project consultants
A.M.S. B.V.,65813073.0,ams
A.N.T. International B.V.,6089432.0,ant international
A.R. Management & Consultancy B.V.,69196915.0,ar management consultancy
A.S. Watson (Health & Beauty Continental Europe) B.V.,31035585.0,as watson health beauty continental
A.T. Kearney B.V.,33279525.0,at kearney
A.Z. N.V.,41238026.0,az
A10 Networks Ltd Netherlands,50839500.0,a10 networks ltd
A2B-Online B.V.,8096714.0,a2bonline
A2G Consulting B.V.,77210344.0,a2g consulting
A2Z-CM N.V.,63550547.0,a2zcm
A3BC B.V.,13033679.0,a3bc
"AACSB International, Inc.- The Association to Advance Collegiate Schools of Business",61700967.0,aacsb international inc association to advance collegiate schools of business
AAEON Technology (Europe) B.V.,17170435.0,aaeon technology
